Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,582.0,-268.0,,Soil,,,-163.0,,-125.4,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,"Tatlow Camp, Quartz Creek",63.82,-139.02,581.0,-270.0,,Soil,,,-163.0,,-127.8,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-279.0,,Soil,,,-165.0,,-136.5,,,,,,,User compilation,REVIEW: δ²H very depleted (-279.0‰)
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-274.0,,Soil,,,-165.0,,-130.5,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-273.0,,Soil,,,-165.0,,-129.3,,,,,,,User compilation,OK
"Pautler et al., 2014",Liu,Goldbottom Creek,63.93,-138.97,689.0,-266.0,,Soil,,,-165.0,,-121.0,,,,,,,User compilation,OK
Polissar and Freeman 2010,McFarlin,Bear Meadows,40.73,-77.76,552.0,-191.3,,Lake sediment,,,-65.0,2.0,-135.1,,,,,,,User compilation,OK
Roy & Sanyal 2022,Roy & Sanyal 2022 Table 2,"Gangetic floodplain, India",25.0,83.0,,-212.03813025,4.8984542791716,Soil,,Mixed vegetation (soil),-57.0,,-164.4,,,Gangetic plain / tropical monsoon,"Bulk n-alkane dD, dominated by C29",10.1016/j.quaint.2021.09.004,Roy & Sanyal 2022 Table 2,Computer v6,Missing: elevation
Roy & Sanyal 2022,Roy & Sanyal 2022 Table 2,"Gangetic floodplain, India",25.0,83.0,,-150.5190408,6.9613931291601,Soil,,Mixed vegetation (soil),-57.0,,-99.2,,,Gangetic plain / tropical monsoon,"Bulk n-alkane dD, dominated by C29",10.1016/j.quaint.2021.09.004,Roy & Sanyal 2022 Table 2,Computer v6,Missing: elevation
Roy & Sanyal 2022,Roy & Sanyal 2022 Table 2,"Gangetic floodplain, India",25.0,83.0,,-170.81701845,10.15054775454974,Soil,,Mixed vegetation (soil),-57.0,,-120.7,,,Gangetic plain / tropical monsoon,"Bulk n-alkane dD, dominated by C29",10.1016/j.quaint.2021.09.004,Roy & Sanyal 2022 Table 2,Computer v6,Missing: elevation
Sachse et al 2004,McFarlin,LPM,40.93,15.61,685.0,-169.0,2.0,Lake sediment,,,-48.0,1.0,-127.1,,,,,,,User compilation,OK
"Schwab et al., 2015",Liu,Cameroon,5.03,,,-152.0,,Marine surface sediment,,,-16.0,,-138.2,,,,,,,User compilation,REVIEW: missing coordinates; Missing: elevation
"Schwab et al., 2015",Liu,Cameroon,6.62,,,-163.0,,Marine surface sediment,,,-18.0,,-147.7,,,,,,,User compilation,REVIEW: missing coordinates; Missing: elevation
"Schwab et al., 2015",Liu,Cameroon,7.13,,,-170.0,,Marine surface sediment,,,-16.0,,-156.5,,,,,,,User compilation,REVIEW: missing coordinates; Missing: elevation
"Schwab et al., 2015",Liu,Cameroon,7.25,,,-181.0,,Marine surface sediment,,,-28.0,,-157.4,,,,,,,User compilation,REVIEW: missing coordinates; Missing: elevation
"Schwab et al., 2015",Liu,Cameroon,8.39,,,-147.0,,Marine surface sediment,,,-16.0,,-133.1,,,,,,,User compilation,REVIEW: missing coordinates; Missing: elevation
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-198.0,,Lake sediment,,,-60.0,,-146.8,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-211.0,,Lake sediment,,,-60.0,,-160.6,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-212.0,,Lake sediment,,,-60.0,,-161.7,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-210.0,,Lake sediment,,,-60.0,,-159.6,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-205.0,,Lake sediment,,,-60.0,,-154.3,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-186.0,,Lake sediment,,,-60.0,,-134.0,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-207.0,,Lake sediment,,,-60.0,,-156.4,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-199.0,,Lake sediment,,,-60.0,,-147.9,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-216.0,,Lake sediment,,,-60.0,,-166.0,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-224.0,,Lake sediment,,,-60.0,,-174.5,,,,,,,User compilation,NOTE: ε outside typical range (-174‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-218.0,,Lake sediment,,,-60.0,,-168.1,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-217.0,,Lake sediment,,,-60.0,,-167.0,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-225.0,,Lake sediment,,,-60.0,,-175.5,,,,,,,User compilation,NOTE: ε outside typical range (-176‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-220.0,,Lake sediment,,,-60.0,,-170.2,,,,,,,User compilation,NOTE: ε outside typical range (-170‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-221.0,,Lake sediment,,,-60.0,,-171.3,,,,,,,User compilation,NOTE: ε outside typical range (-171‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-227.0,,Lake sediment,,,-60.0,,-177.7,,,,,,,User compilation,NOTE: ε outside typical range (-178‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-244.0,,Lake sediment,,,-60.0,,-195.7,,,,,,,User compilation,NOTE: ε outside typical range (-196‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-240.0,,Lake sediment,,,-60.0,,-191.5,,,,,,,User compilation,NOTE: ε outside typical range (-192‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-219.0,,Lake sediment,,,-60.0,,-169.1,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-229.0,,Lake sediment,,,-60.0,,-179.8,,,,,,,User compilation,NOTE: ε outside typical range (-180‰)
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-195.0,,Lake sediment,,,-60.0,,-143.6,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-203.0,,Lake sediment,,,-60.0,,-152.1,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-208.0,,Lake sediment,,,-60.0,,-157.4,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-213.0,,Lake sediment,,,-60.0,,-162.8,,,,,,,User compilation,OK
"Seki et al., 2010",Liu,"Hokkaido, Japan",44.2,142.1,560.0,-222.0,,Lake sediment,,,-60.0,,-172.3,,,,,,,User compilation,NOTE: ε outside typical range (-172‰)
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Taylor Road and WA SR10",47.2,-120.8,570.0,-206.2,1.8,Soil,Soil (mixed vegetation),Soil,-89.2,,-128.5,645.3,7.8,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Near Cannon Mine, Methow St, Wenatchee",47.4,-120.3,390.0,-200.4,1.4,Soil,Soil (mixed vegetation),Soil,-90.4,,-120.9,260.2,10.0,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Rockaway Beach Park, Bainbridge Island",47.6,-122.5,1.0,-208.3,3.3,Soil,Soil (mixed vegetation),Soil,-67.0,,-151.4,1022.3,11.5,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Chiwawa River/Chiwawa Basin Trail",48.1,-120.9,1467.4,-221.2,2.7,Soil,Soil (mixed vegetation),Soil,-102.2,,-132.5,1851.7,3.9,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Suiattle River Road",48.3,-121.3,349.2,-193.0,1.8,Soil,Soil (mixed vegetation),Soil,-84.7,,-118.3,2321.6,9.0,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Leader Lake State Park",48.4,-119.7,720.5,-230.0,3.1,Soil,Soil (mixed vegetation),Soil,-102.4,,-142.2,358.4,8.6,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Bowman Bay, Deception Pass State Park",48.4,-122.7,12.0,-162.4,1.8,Soil,Soil (mixed vegetation),Soil,-72.0,,-97.4,596.5,10.3,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Thompson Ridge Road",48.4,-120.3,1170.0,-221.3,1.2,Soil,Soil (mixed vegetation),Soil,-104.9,,-130.0,650.4,6.4,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, FR 42 off Loup Loup Summit",48.4,-119.9,1387.0,-249.9,1.5,Soil,Soil (mixed vegetation),Soil,-110.4,,-156.8,601.5,4.5,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Leader Lake State Park",48.4,-119.7,731.0,-228.3,1.0,Soil,Soil (mixed vegetation),Soil,-102.4,,-140.3,358.4,8.6,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Cascade Pass",48.5,-121.1,1586.5,-202.6,2.3,Soil,Soil (mixed vegetation),Soil,-106.5,,-107.6,2014.3,3.4,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Pacific Crest Trail Bridge Creek Trailhead",48.5,-120.7,1400.7,-219.2,5.7,Soil,Soil (mixed vegetation),Soil,-105.2,,-127.4,1464.2,3.1,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Cedar Creek Trail",48.5,-120.5,1350.0,-258.8,1.1,Soil,Soil (mixed vegetation),Soil,-106.4,,-170.5,1137.5,4.6,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,NOTE: ε outside typical range (-170‰)
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Sauk Mountain Road",48.5,-121.6,909.0,-222.8,3.7,Soil,Soil (mixed vegetation),Soil,-94.4,,-141.8,2883.7,6.5,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Lookout Mountain Lookout Trail",48.5,-121.3,1096.0,-208.4,5.5,Soil,Soil (mixed vegetation),Soil,-94.1,,-126.2,2409.7,5.9,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Cutthroat Pass Trail",48.5,-120.7,1688.0,-200.7,8.1,Soil,Soil (mixed vegetation),Soil,-110.2,,-101.7,1622.0,2.6,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Eightmile Creek",48.6,-120.2,885.0,-229.5,1.0,Soil,Soil (mixed vegetation),Soil,-103.9,,-140.2,609.6,6.4,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Squire's Lake Trail",48.6,-122.4,163.0,-169.8,1.3,Soil,Soil (mixed vegetation),Soil,-82.7,,-95.0,1249.2,9.6,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Hathaway Road (Prairie, WA)",48.6,-122.2,174.0,-179.3,4.3,Soil,Soil (mixed vegetation),Soil,-79.8,,-108.1,1635.4,9.2,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Medford/Scott Paper Road",48.6,-122.0,533.0,-203.0,2.9,Soil,Soil (mixed vegetation),Soil,-86.6,,-127.4,2429.9,8.8,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Easy Pass Trail",48.6,-120.8,1522.0,-207.6,0.0,Soil,Soil (mixed vegetation),Soil,-104.3,,-115.3,1417.3,3.3,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Goat Peak Road",48.6,-120.4,1408.0,-256.9,0.7,Soil,Soil (mixed vegetation),Soil,-108.4,,-166.6,680.9,5.3,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Hagood Cutoff off Pine Creek Road",48.6,-119.6,446.0,-204.1,1.3,Soil,Soil (mixed vegetation),Soil,-102.7,,-113.0,331.1,9.0,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, South Fork Park, Deming",48.7,-122.2,107.2,-210.5,2.9,Soil,Soil (mixed vegetation),Soil,-79.9,,-141.9,1379.0,10.1,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, FR 12 off Baker Lake Road, Elbow Lake Junction",48.7,-121.8,895.7,-201.3,2.6,Soil,Soil (mixed vegetation),Soil,-93.5,,-118.9,3719.3,7.2,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Shannon Creek Campground, N Baker Lake",48.7,-121.6,240.6,-188.5,0.8,Soil,Soil (mixed vegetation),Soil,-86.4,,-111.8,2391.6,8.7,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Salmon Meadows, Conconully",48.7,-119.8,1354.1,-236.6,1.8,Soil,Soil (mixed vegetation),Soil,-111.7,,-140.6,571.3,3.7,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, FR 12 off Baker Lake Road, Elbow Lake Junction",48.7,-121.8,877.0,-196.6,1.3,Soil,Soil (mixed vegetation),Soil,-93.5,,-113.7,3719.3,7.2,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, FR 100 off Chewuch Road",48.7,-120.2,1022.0,-231.5,3.2,Soil,Soil (mixed vegetation),Soil,-106.1,,-140.3,540.5,6.3,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Nugent's Corner River Access",48.8,-122.3,75.0,-183.5,1.1,Soil,Soil (mixed vegetation),Soil,-79.6,,-112.9,1231.9,10.5,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Heliotrope Ridge Trailhead",48.8,-121.9,1118.1,-193.6,1.0,Soil,Soil (mixed vegetation),Soil,-95.6,,-108.4,2948.1,6.1,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, West Chewuch Rd b/n Andrews and Lake Creek",48.8,-120.1,874.0,-207.8,2.1,Soil,Soil (mixed vegetation),Soil,-106.8,,-113.1,539.2,6.2,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Spectacle Lake",48.8,-119.5,421.0,-232.9,3.7,Soil,Soil (mixed vegetation),Soil,-105.3,,-142.6,302.7,9.2,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Fancher Dam Road and Havillah Road",48.8,-119.3,981.4,-224.9,1.9,Soil,Soil (mixed vegetation),Soil,-111.7,,-127.4,435.3,6.0,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Fancher Dam Road and Havillah Road",48.8,-119.3,982.0,-257.3,1.2,Soil,Soil (mixed vegetation),Soil,-111.7,,-163.9,435.3,6.0,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Sisley & Wolhowe (2023),Supplement Table S1 (soil),"Cascades transect, WA, Big Tree Trail, Bonaparte State Park",48.9,-119.0,1156.4,-244.4,3.0,Soil,Soil (mixed vegetation),Soil,-114.6,,-146.6,450.1,5.1,Cascade Mtns E-W transect,Soil n-alkanes; site-averaged,10.1016/j.orggeochem.2023.104572,Supplement Table S1 (soil),Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,T1L9 (T1L9),31.38868,-84.39601,54.0,-159.0,,Lake surface sediment,,Bulk sediment,-21.0,,-141.0,1300.0,19.2,Southeast Coastal Plain / mixed forest,Site #9; Sample type (raw): Sediment; δ²H lake water = 14‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Morgan (T2L11),31.66976,-81.81111,11.0,-136.0,,Lake surface sediment,,Bulk sediment,-21.0,,-117.5,1229.0,19.5,Southeast Coastal Plain / mixed forest,Site #10; Sample type (raw): Sediment; δ²H lake water = 2‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,T1L8 (T1L8),32.34999,-86.20918,87.0,-162.0,,Lake surface sediment,,Bulk sediment,-23.0,,-142.3,1287.0,18.2,East Gulf Coastal Plain / mixed forest,Site #8; Sample type (raw): Sediment; δ²H lake water = -7‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Turkey Hill (T2L12),33.55354,-80.84634,73.0,-158.0,,Lake surface sediment,,Bulk sediment,-26.0,,-135.5,1202.0,17.8,Southeast Piedmont / mixed forest,Site #11; Sample type (raw): Sediment; δ²H lake water = -28‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Lamar (T1L7),33.77759,-88.23522,110.0,-170.0,,Lake surface sediment,,Bulk sediment,-25.0,,-148.7,1431.0,16.5,East Gulf Coastal Plain / mixed forest,Site #7; Sample type (raw): Sediment; δ²H lake water = -11‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Bear Creek (T1L6),34.71125,-90.69264,80.0,-153.0,,Lake surface sediment,,Bulk sediment,-29.0,,-127.7,1302.0,16.3,Mississippi Alluvial Plain / bottomland forest,Site #6; Sample type (raw): Sediment; δ²H lake water = -16‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Wheatfield (T2L13),35.17073,-79.67573,169.0,-158.0,,Lake surface sediment,,Bulk sediment,-28.0,,-133.7,1170.0,15.9,Piedmont / mixed broadleaf forest,Site #12; Sample type (raw): Sediment; δ²H lake water = -17‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Ferguson (T1L5),35.88266,-92.6309,473.0,-169.0,,Lake surface sediment,,Bulk sediment,-35.0,,-138.9,1175.0,14.1,Ouachita Highlands / broadleaf forest,Site #5; Sample type (raw): Sediment; δ²H lake water = -5‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Buffalo (T2L14),36.62386,-78.57864,12.0,-167.0,,Lake surface sediment,,Bulk sediment,-30.0,,-141.2,1108.0,14.5,Piedmont / mixed broadleaf forest,Site #13; Sample type (raw): Sediment; δ²H lake water = -21‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
Stefanescu et al. 2023,Wyoming Data Repository doi:10.15786/20126483,Spring (T1L4),37.05976,-94.73146,245.0,-168.0,,Lake surface sediment,,Bulk sediment,-36.0,,-136.9,1153.0,14.4,Ozark Highlands / broadleaf forest,Site #4; Sample type (raw): Sediment; δ²H lake water = -9‰; Duplicate SD ~2.4‰ (study-average),10.1016/j.gca.2022.11.001,Wyoming Data Repository doi:10.15786/20126483,Computer v6,OK
